,vehicle_id,time_stamp,latitude,longitude
90,X0997116,2020-01-28 15:14:28,13.72155,100.701333
91,X0997116,2020-01-28 15:15:46,13.7212,100.695533
92,X0997116,2020-01-28 15:18:27,13.72035,100.6807
93,X0997116,2020-01-28 15:19:33,13.7196,100.6748
94,X0997116,2020-01-28 15:21:27,13.718217,100.66545
95,X0997116,2020-01-28 15:22:32,13.7173,100.6601
96,X0997116,2020-01-28 15:25:27,13.714883,100.64895
97,X0997116,2020-01-28 15:26:31,13.712417000000002,100.642717
98,X0997116,2020-01-28 15:27:26,13.711817000000002,100.640783
99,X0997116,2020-01-28 15:30:31,13.710767,100.635417
100,X0997116,2020-01-28 15:31:26,13.710333,100.63155
101,X0997116,2020-01-28 15:35:29,13.709367000000002,100.614717
102,X0997116,2020-01-28 15:37:29,13.7108,100.6111
103,X0997116,2020-01-28 15:55:21,13.710617,100.602317
104,X0997116,2020-01-28 15:56:38,13.7118,100.604467
105,X0997116,2020-01-28 16:08:07,13.710683,100.634033
106,X0997116,2020-01-28 16:09:13,13.711117000000002,100.6372
107,X0997116,2020-01-28 16:10:09,13.7115,100.638983
108,X0997116,2020-01-28 16:12:10,13.7142,100.6476
109,X0997116,2020-01-28 16:13:06,13.716217000000002,100.6526
110,X0997116,2020-01-28 16:17:12,13.719183,100.670917
111,X0997116,2020-01-28 16:18:08,13.719617,100.673883
112,X0997116,2020-01-28 16:19:14,13.72025,100.67845
113,X0997116,2020-01-28 16:21:05,13.720983,100.689333
114,X0997116,2020-01-28 16:22:11,13.721067,100.690367
115,X0997116,2020-01-28 16:24:13,13.721533,100.699417
116,X0997116,2020-01-28 16:26:12,13.722017,100.706633
117,X0997116,2020-01-28 16:28:04,13.72225,100.712017
118,X0997116,2020-01-28 16:29:10,13.72225,100.714867
119,X0997116,2020-01-28 16:31:12,13.722267,100.719817
120,X0997116,2020-01-28 16:35:09,13.722533,100.734983
121,X0997116,2020-01-28 16:39:03,13.72275,100.7483
122,X0997116,2020-01-28 16:40:08,13.72255,100.752533
123,X0997116,2020-01-28 16:43:06,13.721882999999998,100.77125
124,X0997116,2020-01-28 16:44:02,13.721982999999998,100.775917
125,X0997116,2020-01-28 16:46:03,13.722032999999998,100.7812
126,X0997116,2020-01-28 16:49:03,13.721967,100.790567
127,X0997116,2020-01-28 16:50:09,13.720267000000002,100.795
128,X0997116,2020-01-28 16:52:01,13.718517000000002,100.799667
129,X0997116,2020-01-28 16:54:02,13.717217000000002,100.800017
130,X0997116,2020-01-28 17:42:16,13.718917,100.798383
131,X0997116,2020-01-28 17:44:17,13.720467,100.7942
132,X0997116,2020-01-28 17:45:13,13.721517,100.791267
133,X0997116,2020-01-28 17:52:24,13.72205,100.78625
134,X0997116,2020-01-28 17:57:35,13.721982999999998,100.783883
135,X0997116,2020-01-28 17:58:40,13.721867,100.780567
136,X0997116,2020-01-28 18:10:39,13.722467000000002,100.746117
137,X0997116,2020-01-28 18:13:46,13.722367000000002,100.738383
138,X0997116,2020-01-28 18:14:41,13.722333,100.736867
139,X0997116,2020-01-28 18:15:37,13.722283,100.734583
140,X0997116,2020-01-28 18:18:46,13.722183,100.73075
141,X0997116,2020-01-28 18:21:47,13.722117,100.727583
142,X0997116,2020-01-28 18:23:39,13.721967,100.723367
143,X0997116,2020-01-28 18:24:45,13.722017,100.719
144,X0997116,2020-01-28 18:27:35,13.722017,100.710883
145,X0997116,2020-01-28 18:30:42,13.72165,100.70315
146,X0997116,2020-01-28 18:31:38,13.721583,100.702267
147,X0997116,2020-01-28 18:32:44,13.721483,100.699917
148,X0997116,2020-01-28 18:33:40,13.72115,100.69445
149,X0997116,2020-01-28 18:34:35,13.720917000000002,100.69145
150,X0997116,2020-01-28 18:35:40,13.7207,100.686683
151,X0997116,2020-01-28 18:36:35,13.72035,100.680767
152,X0997116,2020-01-28 18:39:43,13.718517000000002,100.667217
153,X0997116,2020-01-28 18:40:39,13.71765,100.661983
154,X0997116,2020-01-28 18:41:34,13.716367000000002,100.65465
155,X0997116,2020-01-28 18:45:38,13.713033,100.644933
156,X0997116,2020-01-28 18:48:37,13.712367,100.64235
